"delv_plt","material","ship_to","qty"
7667.14,"S10_4698","Diecast Classics Inc.",37
5868.2,"S10_4698","Land of Toys Inc.",26
2990.13,"S10_4698","Tokyo Collectables, Ltd",39
3664.1,"S10_4698","Technics Stores Inc.",22
3834.38,"S10_4698","Australian Gift Network, Co",22
1822.17,"S10_4698","FunGiftIdeas.com",21
11886.6,"S10_4698","UK Collectables, Ltd.",66
9218.16,"S10_4698","Euro Shopping Channel",56
7208,"S10_4757","Danish Wholesale Imports",50
5004.8,"S10_4757","Salzburg Collectables",46
4398.24,"S10_4757","Stylish Desk Decors, Co.",33
5597.76,"S10_4757","Mini Creations Ltd.",49
4526.08,"S10_4757","Toys of Finland, Co.",32
5924.16,"S10_4757","Scandinavian Gift Ideas",44
3492.48,"S10_4757","Alpha Cognac",24
3854.24,"S10_4757","Double Decker Gift Stores, Ltd",26
5324.4,"S10_4757","Enaco Distributors",45
5197.92,"S10_4757","Men 'R' US Retailers, Ltd.",39
5997.6,"S10_4757","Collectable Mini Designs Co.",49
2910.4,"S10_4757","Land of Toys Inc.",20
3378.24,"S10_4757","Quebec Home Shopping Network",27
3508.8,"S10_4757","Petit Auto",30
2992,"S10_4757","Royal Canadian Collectables, Ltd.",25
3427.2,"S10_4757","Gifts4AllAges.com",24
2692.8,"S10_4757","Classic Gift Ideas, Inc",22
4128.96,"S10_4757","giftsbymail.co.uk",33
3051.71,"S10_4757","Baane Mini Imports",47
1201.25,"S10_4757","Classic Legends Inc.",25
1962.22,"S10_4757","Euro Shopping Channel",26
2624.64,"S10_4757","Reims Collectables",48
4046.25,"S10_4757","Oulu Toy Supplies, Inc.",39
4846.7,"S10_4757","Corporate Gift Ideas Co.",34
3370.56,"S10_4757","Lyon Souveniers",32
9661.44,"S10_4757","The Sharp Gifts Warehouse",64
2764.88,"S10_4757","Gifts4AllAges.com",19
5398.26,"S10_4962","Baane Mini Imports",42
4305.28,"S10_4962","La Corne D'abondance, Co.",31
3347.74,"S10_4962","Corrida Auto Replicas, Ltd",22
3188.12,"S10_4962","Technics Stores Inc.",26
3191.2,"S10_4962","Dragon Souveniers, Ltd.",20
3536.82,"S10_4962","Mini Auto Werke",21
5362.83,"S10_4962","Stylish Desk Decors, Co.",33
3433.36,"S10_4962","Classic Gift Ideas, Inc",28
4263.74,"S10_4962","Saveley & Henriot, Co.",26
4076.19,"S10_4962","Diecast Collectables",31
7020.48,"S10_4962","Handji Gifts& Co",48
6426.5,"S10_4962","Mini Gifts Distributors Ltd.",50
4591.72,"S10_4962","Super Scale Inc.",28
4033.38,"S10_4962","Handji Gifts& Co",26
4302.08,"S10_4962","Souveniers And Things Co.",32
7020.64,"S10_4962","Diecast Classics Inc.",44
3855.9,"S10_4962","Scandinavian Gift Ideas",30
6680.78,"S10_4962","Marta's Replicas Co.",38
6678,"S10_4962","Canadian Gift Exchange Network",40
2851.54,"S10_4962","Online Diecast Creations Co.",46
3188.12,"S10_4962","Volvo Model Replicas, Co",26
4428,"S10_4962","Australian Collectors, Co.",27
5780.92,"S10_4962","Mini Gifts Distributors Ltd.",43
2297.05,"S10_4962","Anna's Decorations, Ltd",35
6231.54,"S10_4962","Corporate Gift Ideas Co.",37
1735.3,"S10_4962","Anna's Decorations, Ltd",37
4427.73,"S10_4962","Quebec Home Shopping Network",27
5894.94,"S10_4962","La Rochelle Gifts",38
5265.15,"S12_1099","Cruz & Sons Co.",33
7599.9,"S12_1099","Marseille Mini Autos",42
8008.56,"S12_1099","Mini Gifts Distributors Ltd.",42
9245.76,"S12_1099","Collectables For Less Inc.",48
8296.35,"S12_1099","Corporate Gift Ideas Co.",41
5019.9,"S12_1099","Anna's Decorations, Ltd",30
5411.07,"S12_1099","Herkku Gifts",27
3840.9,"S12_1099","Toms Spezialitten, Ltd",21
3930.4,"S12_1099","Euro Shopping Channel",20
7498.9,"S12_1099","Auto Canal Petit",41
4517.91,"S12_1099","Vida Sport, Ltd",27
5774.72,"S12_1099","Danish Wholesale Imports",28
3922.56,"S12_1099","UK Collectables, Ltd.",24
9160.36,"S12_1099","L'ordine Souveniers",44
9631,"S12_1099","Online Mini Collectables",50
3432.24,"S12_1099","Vida Sport, Ltd",21
5521.89,"S12_1099","Blauer See Auto, Co.",33
6934.62,"S12_1099","Toms Spezialitten, Ltd",33
6876.11,"S12_1099","Volvo Model Replicas, Co",31
2930.27,"S12_1099","Land of Toys Inc.",41
3584.25,"S12_1099","Salzburg Collectables",45
2817.87,"S12_1099","Suominen Souveniers",33
3420,"S12_1099","La Rochelle Gifts",45
2575.04,"S12_1099","Scandinavian Gift Ideas",26
1961.28,"S12_1099","Salzburg Collectables",12
8690.36,"S12_1108","Danish Wholesale Imports",41
6034.38,"S12_1108","Dragon Souveniers, Ltd.",33
11279.2,"S12_1108","Muscle Machine Inc",46
8023.29,"S12_1108","Mini Gifts Distributors Ltd.",33
4904,"S12_1108","Euro Shopping Channel",20
8594.52,"S12_1108","Dragon Souveniers, Ltd.",44
7474.5,"S12_1108","L'ordine Souveniers",33
3883.74,"S12_1108","Mini Creations Ltd.",21
8887.7,"S12_1108","Super Scale Inc.",47
8602.92,"S12_1108","Saveley & Henriot, Co.",46
7181.44,"S12_1108","Clover Collections, Co.",32
8378.58,"S12_1108","CAF Imports",42
10606.2,"S12_1108","Suominen Souveniers",44
5818.4,"S12_1108","Diecast Classics Inc.",35
7071.27,"S12_1108","Mini Gifts Distributors Ltd.",41
8411.56,"S12_1108","Amica Models & Co.",46
6570.76,"S12_1108","AV Stores, Co.",31
7975.44,"S12_1108","Heintze Collectables",38
2688,"S12_1108","Baane Mini Imports",42
1888.26,"S12_1108","La Corne D'abondance, Co.",33
2513.28,"S12_1108","Corrida Auto Replicas, Ltd",48
4764.48,"S12_1108","Reims Collectables",42
3560.64,"S12_1108","Mini Gifts Distributors Ltd.",32
3823.64,"S12_1108","Mini Gifts Distributors Ltd.",34
2280.96,"S12_1108","Lyon Souveniers",33
8677.8,"S12_1108","Gift Depot Inc.",36
3394.98,"S12_1666","Baane Mini Imports",27
3415.44,"S12_1666","Mini Gifts Distributors Ltd.",21
2439.57,"S12_1666","Corrida Auto Replicas, Ltd",21
4829.8,"S12_1666","Technics Stores Inc.",38
4100.1,"S12_1666","Dragon Souveniers, Ltd.",30
6563.06,"S12_1666","Mini Auto Werke",49
6817.22,"S12_1666","Australian Gift Network, Co",43
6163.94,"S12_1666","Classic Gift Ideas, Inc",41
4933.92,"S12_1666","Saveley & Henriot, Co.",38
4056.36,"S12_1666","Canadian Gift Exchange Network",28
5759.42,"S12_1666","Auto Assoc. & Cie.",43
3451,"S12_1666","Mini Gifts Distributors Ltd.",25
5920.4,"S12_1666","Super Scale Inc.",38
6668.24,"S12_1666","Tokyo Collectables, Ltd",41
4094.72,"S12_1666","Souveniers And Things Co.",28
2938.5,"S12_1666","Diecast Classics Inc.",25
6387.8,"S12_1666","Scandinavian Gift Ideas",41
6396,"S12_1666","Auto Assoc. & Cie.",39
2669.1,"S12_1666","Canadian Gift Exchange Network",21
4784.13,"S12_1666","Online Diecast Creations Co.",27
3273.93,"S12_1666","Mini Wheels Co.",33
3586.43,"S12_1666","Australian Collectors, Co.",29
5960.36,"S12_1666","Mini Gifts Distributors Ltd.",49
8470.14,"S12_1666","Anna's Decorations, Ltd",49
2952,"S12_1666","Corporate Gift Ideas Co.",20
2464.8,"S12_1666","Anna's Decorations, Ltd",39
6232,"S12_1666","Quebec Home Shopping Network",40
7969.36,"S12_1666","Euro Shopping Channel",49
3036.6,"S12_2823","Land of Toys Inc.",21
8284,"S12_2823","Reims Collectables",50
2711.2,"S12_2823","Lyon Souveniers",20
8339.8,"S12_2823","Toys4GrownUps.com",49
6238.84,"S12_2823","Corporate Gift Ideas Co.",38
4639.25,"S12_2823","Anna's Decorations, Ltd",35
6747.6,"S12_2823","Daedalus Designs Imports",40
4512.48,"S12_2823","Toys4GrownUps.com",28
4029,"S12_2823","Mini Wheels Co.",25
4771.8,"S12_2823","Auto Canal Petit",36
6087.94,"S12_2823","Daedalus Designs Imports",43
4193.28,"S12_2823","Vitachrome Inc.",32
7552.28,"S12_2823","Tekni Collectables Inc.",46
6434.4,"S12_2823","Gift Depot Inc.",48
5181.5,"S12_2823","Online Mini Collectables",43
6863.92,"S12_2823","Marta's Replicas Co.",49
4157.04,"S12_2823","Toys of Finland, Co.",24
4660.24,"S12_2823","Baane Mini Imports",26
4111.8,"S12_2823","Microscale Inc.",30
3542.64,"S12_2823","Land of Toys Inc.",24
8118.55,"S12_2823","Salzburg Collectables",55
3877.06,"S12_2823","Technics Stores Inc.",22
3867.08,"S12_2823","La Rochelle Gifts",49
5951.44,"S12_2823","FunGiftIdeas.com",44
8648.64,"S12_2823","UK Collectables, Ltd.",66
3447.78,"S12_2823","Euro Shopping Channel",21
5958.5,"S12_3148","Euro Shopping Channel",34
5911.64,"S12_3148","Dragon Souveniers, Ltd.",43
7366.44,"S12_3148","Muscle Machine Inc",46
4985.64,"S12_3148","Mini Gifts Distributors Ltd.",33
5393.64,"S12_3148","Euro Shopping Channel",42
4880.02,"S12_3148","Dragon Souveniers, Ltd.",34
8378.69,"S12_3148","L'ordine Souveniers",47
4038.21,"S12_3148","Mini Creations Ltd.",33
3807.12,"S12_3148","Super Scale Inc.",24
3142.36,"S12_3148","Saveley & Henriot, Co.",26
4713.6,"S12_3148","Clover Collections, Co.",30
7016.31,"S12_3148","Blauer See Auto, Co.",43
4381.25,"S12_3148","Suominen Souveniers",25
4283.01,"S12_3148","Diecast Classics Inc.",27
4364.82,"S12_3148","Mini Gifts Distributors Ltd.",27
4242.24,"S12_3148","Amica Models & Co.",24
4982.7,"S12_3148","AV Stores, Co.",34
6393.54,"S12_3148","Heintze Collectables",46
1466.91,"S12_3148","Vitachrome Inc.",27
4059.33,"S12_3148","La Corne D'abondance, Co.",33
4801.52,"S12_3148","Corrida Auto Replicas, Ltd",47
2711.66,"S12_3148","Euro Shopping Channel",49
5862,"S12_3148","Tokyo Collectables, Ltd",40
4071.85,"S12_3148","Mini Gifts Distributors Ltd.",37
8236.75,"S12_3148","Gift Depot Inc.",47
6130.35,"S12_3380","Cruz & Sons Co.",45
3693.34,"S12_3380","Marseille Mini Autos",37
6031.68,"S12_3380","Mini Gifts Distributors Ltd.",48
3494.94,"S12_3380","Collectables For Less Inc.",31
5294.14,"S12_3380","Men 'R' US Retailers, Ltd.",46
5464.69,"S12_3380","Mini Auto Werke",47
2860.76,"S12_3380","Herkku Gifts",28
5590,"S12_3380","Toms Spezialitten, Ltd",40
2254.8,"S12_3380","Euro Shopping Channel",20
4946.76,"S12_3380","Euro Shopping Channel",39
2495.5,"S12_3380","Vida Sport, Ltd",25
3167.38,"S12_3380","Danish Wholesale Imports",29
2402.84,"S12_3380","UK Collectables, Ltd.",22
2454.54,"S12_3380","L'ordine Souveniers",22
5464.69,"S12_3380","Online Mini Collectables",47
4756.5,"S12_3380","Vida Sport, Ltd",45
3984.6,"S12_3380","Blauer See Auto, Co.",29
3100.32,"S12_3380","Toms Spezialitten, Ltd",24
4850.3,"S12_3380","Volvo Model Replicas, Co",35
3846.98,"S12_3380","Land of Toys Inc.",46
4220.92,"S12_3380","Salzburg Collectables",44
3288.82,"S12_3380","Suominen Souveniers",34
3987.2,"S12_3380","Boards & Toys Co.",35
1809.5,"S12_3380","Scandinavian Gift Ideas",25
1092.2,"S12_3380","Salzburg Collectables",10
4566.05,"S12_3891","Danish Wholesale Imports",29
5938.14,"S12_3891","Dragon Souveniers, Ltd.",39
8138.76,"S12_3891","Muscle Machine Inc",42
9470.94,"S12_3891","Mini Gifts Distributors Ltd.",46
7036.89,"S12_3891","Euro Shopping Channel",49
5559.03,"S12_3891","Dragon Souveniers, Ltd.",27
7872.5,"S12_3891","L'ordine Souveniers",50
7886.2,"S12_3891","Mini Creations Ltd.",43
7232.16,"S12_3891","Super Scale Inc.",38
3114.4,"S12_3891","Saveley & Henriot, Co.",20
5045.22,"S12_3891","Clover Collections, Co.",27
6952.12,"S12_3891","CAF Imports",49
4157.73,"S12_3891","Suominen Souveniers",27
7962.24,"S12_3891","Diecast Classics Inc.",39
3778.8,"S12_3891","Mini Gifts Distributors Ltd.",24
8253,"S12_3891","Amica Models & Co.",45
3633.4,"S12_3891","AV Stores, Co.",20
6913.8,"S12_3891","Heintze Collectables",36
2583.6,"S12_3891","Baane Mini Imports",24
3105.62,"S12_3891","La Corne D'abondance, Co.",49
4408.56,"S12_3891","Muscle Machine Inc",26
3042.41,"S12_3891","Reims Collectables",49
5941.5,"S12_3891","Tokyo Collectables, Ltd",34
3241.9,"S12_3891","Mini Gifts Distributors Ltd.",34
6109.29,"S12_3891","Mini Gifts Distributors Ltd.",33
3387.78,"S12_3891","Gift Depot Inc.",22
3485.82,"S12_3990","Cruz & Sons Co.",39
2042.88,"S12_3990","Marseille Mini Autos",32
1800.24,"S12_3990","Mini Gifts Distributors Ltd.",24
1340.64,"S12_3990","Collectables For Less Inc.",21
1762.08,"S12_3990","Corporate Gift Ideas Co.",24
2298.24,"S12_3990","Anna's Decorations, Ltd",36
1628,"S12_3990","Herkku Gifts",20
1939.2,"S12_3990","Toms Spezialitten, Ltd",30
3651.56,"S12_3990","Euro Shopping Channel",44
2591.96,"S12_3990","Auto Canal Petit",28
2864.17,"S12_3990","Vida Sport, Ltd",37
1484.2,"S12_3990","Danish Wholesale Imports",20
2254.25,"S12_3990","UK Collectables, Ltd.",25
2681.35,"S12_3990","L'ordine Souveniers",35
3184.02,"S12_3990","Online Mini Collectables",38
2846.63,"S12_3990","Vida Sport, Ltd",41
1685.42,"S12_3990","Blauer See Auto, Co.",22
3988.6,"S12_3990","Toms Spezialitten, Ltd",49
2789.96,"S12_3990","Volvo Model Replicas, Co",38
3607.56,"S12_3990","Land of Toys Inc.",33
3368.16,"S12_3990","Salzburg Collectables",36
2775.08,"S12_3990","Suominen Souveniers",34
1627.92,"S12_3990","Toys of Finland, Co.",24
2529.36,"S12_3990","Scandinavian Gift Ideas",36
3065.78,"S12_3990","Salzburg Collectables",34
4615.78,"S12_4473","Euro Shopping Channel",41
5723.78,"S12_4473","Classic Legends Inc.",46
2559.6,"S12_4473","Muscle Machine Inc",24
2140.11,"S12_4473","Suominen Souveniers",21
3327.6,"S12_4473","Oulu Toy Supplies, Inc.",24
6825.6,"S12_4473","Dragon Souveniers, Ltd.",48
3543.28,"S12_4473","Stylish Desk Decors, Co.",26
4516.22,"S12_4473","Iberia Gift Imports, Corp.",37
6445.46,"S12_4473","Mini Classics",49
3384.36,"S12_4473","Diecast Collectables",34
4891.68,"S12_4473","Signal Collectibles Ltd.",48
4521.96,"S12_4473","Mini Gifts Distributors Ltd.",36
5069.66,"S12_4473","Euro Shopping Channel",46
6541.2,"S12_4473","Handji Gifts& Co",46
3012.27,"S12_4473","Mini Gifts Distributors Ltd.",31
5247.18,"S12_4473","Diecast Classics Inc.",41
2214.87,"S12_4473","Land of Toys Inc.",21
4773.18,"S12_4473","Marta's Replicas Co.",38
6185.7,"S12_4473","Heintze Collectables",45
1517.88,"S12_4473","Vitachrome Inc.",26
6372.6,"S12_4473","La Corne D'abondance, Co.",38
5232.96,"S12_4473","Muscle Machine Inc",48
2694.72,"S12_4473","Euro Shopping Channel",42
1749.79,"S12_4473","Mini Gifts Distributors Ltd.",49
2130.56,"S12_4473","Mini Gifts Distributors Ltd.",32
5951.34,"S12_4473","Euro Shopping Channel",54
4692.6,"S12_4473","La Rochelle Gifts",33
3731.04,"S12_4675","Cruz & Sons Co.",36
2142,"S12_4675","Marseille Mini Autos",20
2838.81,"S12_4675","Mini Gifts Distributors Ltd.",29
3230.37,"S12_4675","Collectables For Less Inc.",33
5182,"S12_4675","Men 'R' US Retailers, Ltd.",50
4391.1,"S12_4675","Mini Auto Werke",41
4477.32,"S12_4675","Herkku Gifts",36
3544.56,"S12_4675","Online Diecast Creations Co.",27
5195.85,"S12_4675","Euro Shopping Channel",47
4180.44,"S12_4675","Euro Shopping Channel",33
2684.43,"S12_4675","Vida Sport, Ltd",21
1958.88,"S12_4675","Oulu Toy Supplies, Inc.",21
4910.57,"S12_4675","UK Collectables, Ltd.",41
4468.4,"S12_4675","L'ordine Souveniers",40
3127.88,"S12_4675","Dragon Souveniers, Ltd.",28
2675.13,"S12_4675","Vida Sport, Ltd",23
2807.61,"S12_4675","Blauer See Auto, Co.",23
2504.75,"S12_4675","Toms Spezialitten, Ltd",25
2984.88,"S12_4675","FunGiftIdeas.com",24
2524.86,"S12_4675","Land of Toys Inc.",39
4136,"S12_4675","Salzburg Collectables",55
4068.7,"S12_4675","Suominen Souveniers",46
5182,"S12_4675","Toys of Finland, Co.",50
5243.79,"S12_4675","Scandinavian Gift Ideas",47
9048.16,"S12_4675","Mini Caravy",97
3832.64,"S12_4675","Salzburg Collectables",32
3920,"S18_1097","Baane Mini Imports",35
4916.66,"S18_1097","Mini Gifts Distributors Ltd.",49
3857,"S18_1097","Corrida Auto Replicas, Ltd",38
4181.44,"S18_1097","Technics Stores Inc.",32
4641,"S18_1097","Dragon Souveniers, Ltd.",34
3570.12,"S18_1097","Mini Auto Werke",36
4480.32,"S18_1097","Australian Gift Network, Co",48
2033.64,"S18_1097","Classic Gift Ideas, Inc",21
1960.14,"S18_1097","Saveley & Henriot, Co.",21
3966.78,"S18_1097","Canadian Gift Exchange Network",34
5152,"S18_1097","West Coast Collectables Co.",46
3360,"S18_1097","Cambridge Collectables Co.",32
3451,"S18_1097","Super Scale Inc.",29
5453,"S18_1097","Tokyo Collectables, Ltd",41
4164.12,"S18_1097","Souveniers And Things Co.",43
2800.08,"S18_1097","Amica Models & Co.",24
4687.94,"S18_1097","Scandinavian Gift Ideas",41
4508,"S18_1097","Auto Assoc. & Cie.",46
4181.44,"S18_1097","Mini Gifts Distributors Ltd.",32
2251.04,"S18_1097","Online Diecast Creations Co.",22
1167.25,"S18_1097","Mini Wheels Co.",29
2083.2,"S18_1097","Australian Collectors, Co.",42
3822,"S18_1097","Mini Gifts Distributors Ltd.",39
3911.49,"S18_1097","Anna's Decorations, Ltd",27
4704,"S18_1097","Corporate Gift Ideas Co.",48
2467.9,"S18_1097","Anna's Decorations, Ltd",29
3213,"S18_1097","Quebec Home Shopping Network",27
7182,"S18_1097","Euro Shopping Channel",54
4379.18,"S18_1129","Motor Mint Distributors Inc.",26
5004.8,"S18_1129","Marseille Mini Autos",34
3644.75,"S18_1129","Alpha Cognac",25
2702.04,"S18_1129","Anna's Decorations, Ltd",23
3764.88,"S18_1129","Heintze Collectables",28
4508,"S18_1129","Quebec Home Shopping Network",35
5418.16,"S18_1129","Herkku Gifts",44
3300.66,"S18_1129","Online Diecast Creations Co.",22
6182.4,"S18_1129","Muscle Machine Inc",42
4186.73,"S18_1129","Euro Shopping Channel",29
4529.28,"S18_1129","Vida Sport, Ltd",32
5628.89,"S18_1129","Osaka Souveniers Co.",41
3054.48,"S18_1129","UK Collectables, Ltd.",26
2526.51,"S18_1129","L'ordine Souveniers",21
4667.86,"S18_1129","Signal Gift Stores",34
6499.32,"S18_1129","Vida Sport, Ltd",41
5917.78,"S18_1129","Norway Gifts By Mail, Co.",37
6231.91,"S18_1129","Toms Spezialitten, Ltd",37
5803.14,"S18_1129","FunGiftIdeas.com",41
6434.02,"S18_1129","Motor Mint Distributors Inc.",46
6454.4,"S18_1129","Australian Collectors, Co.",40
4196.8,"S18_1129","Lyon Souveniers",43
2611.8,"S18_1129","Mini Creations Ltd.",30
5895.05,"S18_1129","Toys of Finland, Co.",35
3375.72,"S18_1129","Mini Gifts Distributors Ltd.",36
8374.69,"S18_1129","Danish Wholesale Imports",61
4464.24,"S18_1129","Salzburg Collectables",38
4808.31,"S18_1342","Vitachrome Inc.",39
3288.78,"S18_1342","Mini Wheels Co.",33
3254.72,"S18_1342","Australian Collectors, Co.",32
3184.94,"S18_1342","Souveniers And Things Co.",31
5907.5,"S18_1342","Signal Collectibles Ltd.",50
4389.12,"S18_1342","Corporate Gift Ideas Co.",48
5036.16,"S18_1342","Rovelli Gifts",43
2183.25,"S18_1342","Mini Gifts Distributors Ltd.",25
3106.88,"S18_1342","Australian Collectables, Ltd",28
3735.72,"S18_1342","Euro Shopping Channel",36
2413.26,"S18_1342","West Coast Collectables Co.",27
2953.75,"S18_1342","Saveley & Henriot, Co.",25
4684.8,"S18_1342","Euro Shopping Channel",40
3248.7,"S18_1342","Danish Wholesale Imports",34
5239.5,"S18_1342","Amica Models & Co.",50
4567.98,"S18_1342","Herkku Gifts",38
3535.35,"S18_1342","Auto Assoc. & Cie.",37
3843.34,"S18_1342","Mini Gifts Distributors Ltd.",43
3710.9,"S18_1342","Online Diecast Creations Co.",43
4375.98,"S18_1342","AV Stores, Co.",46
1516.62,"S18_1342","Signal Gift Stores",42
2509,"S18_1342","Lyon Souveniers",50
9240.44,"S18_1342","Collectables For Less Inc.",44
2515.32,"S18_1342","Euro Shopping Channel",27
5548.9,"S18_1342","Anna's Decorations, Ltd",35
4873.05,"S18_1342","Diecast Classics Inc.",51
2055.74,"S18_1367","Vitachrome Inc.",41
2354.88,"S18_1367","Mini Wheels Co.",48
2309.58,"S18_1367","Corrida Auto Replicas, Ltd",42
2113.37,"S18_1367","Souveniers And Things Co.",49
1746.6,"S18_1367","Signal Collectibles Ltd.",30
2304.45,"S18_1367","Corporate Gift Ideas Co.",45
2122.08,"S18_1367","Rovelli Gifts",48
1742.4,"S18_1367","Mini Gifts Distributors Ltd.",32
2455.02,"S18_1367","Australian Collectables, Ltd",46
3053.28,"S18_1367","Euro Shopping Channel",48
1423.29,"S18_1367","West Coast Collectables Co.",33
1504.12,"S18_1367","Saveley & Henriot, Co.",31
1164.4,"S18_1367","Euro Shopping Channel",20
1500.75,"S18_1367","Danish Wholesale Imports",29
1557.36,"S18_1367","Amica Models & Co.",27
1345.68,"S18_1367","Herkku Gifts",24
1795.24,"S18_1367","Auto Assoc. & Cie.",37
1105.25,"S18_1367","Mini Gifts Distributors Ltd.",25
2364.88,"S18_1367","Online Diecast Creations Co.",41
2427.03,"S18_1367","AV Stores, Co.",27
1237.95,"S18_1367","Australian Collectors, Co.",21
1593.02,"S18_1367","Lyon Souveniers",22
3156.16,"S18_1367","Collectables For Less Inc.",32
1320.75,"S18_1367","Corporate Gift Ideas Co.",25
4998,"S18_1367","Anna's Decorations, Ltd",42
1293.75,"S18_1367","Diecast Classics Inc.",25
5433.08,"S18_1589","AV Stores, Co.",37
3073.72,"S18_1589","Atelier graphique",26
4380.2,"S18_1589","Reims Collectables",44
5848.68,"S18_1589","Anna's Decorations, Ltd",47
6153.73,"S18_1589","Heintze Collectables",43
4965.24,"S18_1589","Gift Depot Inc.",42
